gene,fold change,p value
PIWIL4,0.4,0.121577692
SPOCD1,1.4,2.58E-04
YARS1,-1.1,5.07E-04
PHC2,0.1,0.546027463
CDCA8,0.4,0.308901191
GNL2,-0.2,0.317493903
AGO4,0.4,0.055462133
HOOK1,-1.1,1.58E-04
CYP2J2,1.3,0.001051216
BTF3L4,-0.4,0.076636826
TUT4,0.3,0.200615196
PRPF38A,0.8,0.006703308
DSC2,1.3,2.62E-04
DSG3,-1.3,0.061023217
RNF138,0.8,0.052208428
DSG1,1.2,0.130392004
DSC1,-0.6,0.373275826
DTNA,1,5.72E-04
FHOD3,-0.9,0.031739036
TPGS2,-0.5,6.03E-05
DAGLA,-1.1,0.010726874
SLC43A3,1.5,1.04E-05
TIMM10,-0.5,0.004497912
DHX34,0.5,0.030340714
APLNR,1,0.234902802
FADS2,1.1,0.004811481
TMEM258,0.3,0.066958679
C5AR2,0.4,0.29459237
TMEM165,1.2,0.001956019
CLOCK,-0.3,0.198509192
PDGFRA,2.5,7.89E-10
GGACT,0.9,6.48E-04
COL4A2,1,4.03E-04
CLDN10,1.1,0.074265884
DZIP1,0.1,0.623676692
ARGLU1,0.6,0.104073271
BIVM,0.1,0.702589412
TPP2,-0.1,0.630556552
POGLUT2,0.8,0.01796224
CARS2,0.1,0.799104541
ARHGAP32,-0.8,5.73E-07
STT3A,0.3,0.023908188
ADAMTS8,-1.2,0.004234707
ACRV1,-0.1,0.784282943
ETS1,0.7,0.060233578
SLC37A2,0.3,0.482258403
KLB,-1.1,0.020768979
TMED7,0.8,0.052376937
APC,-0.1,0.703854094
NREP,-1.2,1.52E-09
WDR36,-0.2,0.43452529
OSTF1,-0.4,0.112891582
RFK,-1,6.88E-05
UBQLN1,-0.6,2.21E-04
NAA35,0.2,0.206577251
ANXA1,0.7,0.03585243
CTSL,0.1,0.529803355
CEMIP2,0.1,0.720980126
AGTPBP1,0.3,0.181615346
GOLM1,0.1,0.365322121
FAM189A2,1.6,6.17E-04
PSAT1,1.3,0.00237791
ISCA1,-0.8,3.33E-04
ADAM19,-0.5,0.062120809
HAVCR2,1.2,0.015309189
CCNJL,0.5,0.204180444
TAOK3,0.5,0.032271574
USP30,0.2,0.397470578
SDS,1.2,0.002006251
MSI1,0.6,0.03020201
FBXO21,-0.1,0.455215367
TBX3,0.5,0.295105087
OASL,0.4,0.444625471
HRK,-0.4,0.215671792
RNFT2,-0.7,0.002699007
P2RX4,-0.1,0.851128772
BICDL1,-0.9,0.005078288
DTX1,-0.1,0.583861585
TRAFD1,0.7,6.34E-04
DMTF1,0.4,0.13178267
TMEM243,-0.4,0.151249466
CCDC146,0.5,0.032223884
TMEM60,-0.6,0.00133609
CD36,0.6,0.2733668
PNPLA8,0.5,0.062252176
HILPDA,1.6,0.00260017
FAM71F1,0.1,0.890390473
RINT1,-0.4,0.092365185
SRPK2,-0.6,2.05E-04
KCP,0.3,0.651539223
TES,1.5,4.75E-04
MDFIC,1.4,0.002684599
MTO1,-0.2,0.479964744
ADGRB3,-0.5,7.05E-09
HTR1B,-0.5,0.455464677
KHDC1,-0.5,0.080016069
CEP162,0.4,0.231796497
SYNCRIP,0.5,0.114304498
SNX14,-0.2,0.329227709
NT5E,1.4,0.004557884
MRAP2,-1.4,0.004054255
EPHA7,-1,0.002630631
AKIRIN2,-0.5,0.030373072
ORC3,-0.1,0.708046811
LCA5,0.5,0.247112241
MAP3K7,0.1,0.659160726
PRR5L,1.2,0.001717636
LMO2,0.3,0.20675809
PHF21A,0.8,5.52E-04
NAT10,-0.3,0.190736435
EHF,-0.5,0.560523558
PRRG4,2.1,1.52E-08
CD63,0.4,0.002340742
PRPH,0.2,0.830017429
AVIL,0.1,0.854431628
GDF11,1,6.66E-04
GLS2,-1.6,5.26E-05
ITGA7,0.7,0.011693578
TESPA1,-2.3,5.70E-10
FAM186B,-0.3,0.62250827
RDH5,0.6,0.35562406
AGAP2,-0.6,0.24038766
CDK4,0.6,0.007861156
PPP1R1A,-0.4,0.297778037
TROAP,2.6,5.58E-04
TSPAN31,0.5,0.00729493
B4GALNT1,-1.3,9.20E-04
TFCP2,0.3,0.116246169
FAIM2,-1.2,2.41E-06
PAN2,0.9,1.36E-04
ESPL1,1.4,0.066846842
KRT7,0.1,0.91614391
ZC3H10,0.4,0.182935412
HNRNPA1,0.5,9.08E-04
SLC26A10,-1.2,0.01108843
ACVR1B,-0.8,3.40E-04
OS9,-0.1,0.840894356
KCNH3,-0.8,0.081833598
LTV1,-0.1,0.849460019
MAP7,1,0.005770169
CD164,0.8,0.029754669
NHSL1,1.4,0.00395573
AHI1,-0.9,3.11E-04
HEY2,1.4,0.003646523
PKIB,-0.6,0.098335681
NMBR,-0.1,0.889170187
MICAL1,-0.2,0.57060619
REPS1,-0.5,0.001045542
STX11,1.4,0.009398669
TEC,-0.3,0.669233357
PRADC1,-0.2,0.046474447
SEMA4F,-0.8,0.064133725
CCT7,-0.5,0.099495527
EGR4,-0.7,0.196967615
RAB11FIP5,-1.3,5.28E-04
SMYD5,-0.3,0.058428139
DYSF,1.1,4.12E-04
CCDC142,0.5,0.149652667
EMX1,-1.5,0.009801615
USP15,-0.1,0.567437485
GNS,0.2,0.030315835
CPM,1.4,0.001405891
MDM2,0.5,0.100801411
KLHL36,0.3,0.042125982
BCO1,1.3,1.52E-04
MPHOSPH6,0.1,0.613985458
CHST5,-0.4,0.310318061
KIAA0513,-1.3,0.002195619
DYNC1LI2,1.5,3.56E-05
FBXL8,0.2,0.769988938
CCDC102A,0.9,0.030731861
SLC9A5,-0.8,0.061403127
AGT,1.8,1.91E-05
PCNX2,-0.7,5.86E-05
KCNK1,-1.4,3.01E-12
EGLN1,0.3,0.266532578
CAPN9,1.4,8.10E-05
ABCB10,0.1,0.83691676
NTPCR,-0.3,0.030291662
TAF5L,-0.1,0.699467194
GLUL,0.8,0.215419458
STX6,-0.1,0.58290765
RGS8,-0.8,0.21200653
KIAA1614,-0.2,0.132054508
CEP350,0.6,0.084792138
NPL,1.5,2.50E-08
NIBAN1,1.1,0.003576775
PIGC,0.2,0.218058373
LAMC1,0.7,0.007146483
RC3H1,0.4,0.290406161
GPR55,-1.3,0.008771204
SP110,1.5,3.97E-13
MRPL44,-0.4,0.046598791
CHRND,-0.5,0.578148128
DOCK10,0.9,0.028505398
TTLL4,0.8,0.018875386
USP37,0.2,0.708046811
HTR2B,-1.1,0.147372414
ITM2C,0.5,0.024596114
SLC19A3,0.9,0.06453759
SERPINE2,0.6,0.124192171
DNAJB2,0.3,0.095393508
WNT10A,-1.1,0.0302609
TMBIM1,1.7,2.82E-09
CYP27A1,1,1.86E-05
EIF4E2,-0.9,2.71E-08
ARMC9,-0.7,0.004552699
CAB39,-0.4,0.058876989
COX5B,-0.7,6.96E-04
REV1,0.1,0.808709895
TSGA10,0.6,0.034073187
MFSD9,-1,0.014940445
TMEM127,-0.7,4.57E-05
TGFBRAP1,-0.4,0.021332512
GCC2,-0.7,4.14E-05
MRPS9,-0.5,0.004480452
GPR45,-0.2,0.795598214
C2orf49,0.5,0.089801011
EPC2,-0.2,0.444670094
ARHGEF4,-0.6,0.068328818
ISCU,-0.9,2.86E-05
ALDH1L2,-0.2,0.476433298
STAB2,-0.4,0.526214139
USP44,-0.3,0.606592126
SCYL2,0.2,0.374968785
CKAP4,-0.2,0.172357289
PLXNC1,-0.5,0.063335493
APPL2,0.9,4.04E-04
PWP1,-0.2,0.219743131
DRAM1,1.1,5.29E-06
WASHC4,0.9,0.02092619
SLC41A2,-0.7,2.56E-04
VILL,-0.9,1.27E-08
FLNB,0.7,2.76E-07
NEK3,1.2,2.24E-05
PCDH8,-1.2,0.053359811
VPS36,-0.6,0.002569963
RNASEH2B,-0.4,0.097983056
CKAP2,-0.1,0.636176357
CNMD,0.6,0.135922171
TBC1D4,-0.2,0.547764472
THSD1,0.3,0.491145344
BORA,0.3,0.551620014
LRCH1,-0.2,0.240686648
SUCLA2,-0.9,1.02E-05
RCBTB1,0.9,2.01E-04
MED4,-0.1,0.895235482
PHF11,1,2.78E-05
RPL13AP25,0.9,0.00153902
COG3,-0.1,0.686598006
LMO7,-1.1,1.26E-04
ITM2B,0.2,0.451841727
SPRY2,0.5,0.104913419
NUDT15,-0.4,0.042409602
EDNRB,1.4,0.058599558
RCBTB2,0.2,0.481461304
LCP1,1.8,0.002761974
C7orf25,-0.7,0.201858004
TNS3,1.1,0.009088334
SPDYE1,0.3,0.598207669
CHST12,0.1,0.847705644
IGF2BP3,0.6,0.504372009
GPNMB,1.8,0.002271722
RAPGEF5,0.5,0.146883829
RAC1,0.9,4.03E-04
KDELR2,0.3,0.027592784
NUP42,0.4,0.173585509
IL6,3.2,1.66E-07
ZDHHC4,-0.2,0.521741245
AOAH,0.7,0.195285221
BZW2,-0.9,7.14E-08
DGKB,-1.4,5.81E-05
TBRG4,-0.3,0.50926661
DDX56,-0.2,0.451007407
NACAD,-0.2,0.538386501
DBNL,-0.1,0.715191502
CCM2,-0.5,0.163325425
MYO1G,2.1,3.10E-05
TTYH3,-0.3,0.275941602
MMD2,0.7,0.170229265
ENSG00000136315,1.8,0.025281452
TTC5,-0.1,0.650866871
NKX2-8,0.6,0.476475045
NKX2-1,0.3,0.73347979
MTHFS,0.5,0.267798343
ADAMTS7,1.2,3.55E-04
ABHD17C,0.4,0.242687768
IREB2,-0.2,0.263236348
ALPK3,-0.4,0.275823202
TM6SF1,-1.1,0.034974762
CIB2,0.1,0.729719545
CALCOCO2,1,3.18E-07
NMT1,-0.4,0.377709922
MYCBPAP,0.4,0.211228468
SRSF1,0.2,0.606535021
VEZF1,1.1,0.002230644
CHAD,1.4,5.72E-06
TACO1,-0.7,0.047749728
TEX2,0.4,0.091205564
DCAF7,0.5,0.00198046
LIMD2,-0.3,0.281756626
BRIP1,-0.7,0.218327073
KAT7,-0.3,0.060125668
RTP4,0.4,0.469225334
ACTL6A,1.4,8.27E-07
NDUFB5,-0.4,0.095833944
MRPL47,-0.5,0.001229195
SCN2A,-1.4,9.71E-08
TBR1,-1,0.008682642
MARCHF7,0.4,0.358996139
ERMN,1.7,6.46E-04
SCN7A,-0.5,0.123958151
TANK,0.4,0.150475985
SKIL,0.3,0.571193676
HLX,0.9,0.162864343
VPS45,-0.1,0.5879814
IL10,1.8,0.013574586
KCTD3,0.9,0.003632551
RPS6KC1,-0.2,0.318880397
CBWD2,-0.4,0.14037318
IL1RN,0.2,0.814290269
CFC1,-1.7,0.003069647
SMPD4,0.1,0.810951393
WDR33,0.2,0.246175934
CCDC115,-0.3,0.097975887
SAP130,-0.1,0.696517302
BIN1,0.4,0.257488565
IMP4,-0.3,0.189288622
HS6ST1,-0.5,0.135490871
GYPC,1.3,2.09E-04
STAM,-0.5,5.87E-05
GAD2,-2.1,5.87E-05
ABI1,0.4,0.13609367
YME1L1,-0.1,0.510447372
DNAJC1,1,2.03E-05
NIPSNAP3A,0.5,0.079489803
LRRC8A,0.8,0.001445379
TXN,-0.2,0.433143035
ODF2,-0.1,0.380225866
ECPAS,-0.4,0.001494965
TOR1B,-0.1,0.366472068
C9orf78,0.4,0.023120338
SMC2,-0.1,0.689869065
KLF4,0.8,0.284076627
TOR1A,-0.6,6.33E-04
RALGPS1,-0.4,4.80E-06
NIBAN2,0.8,7.40E-04
ST6GALNAC4,0.4,0.019812285
TMOD1,-0.7,0.020963786
DAB2IP,-0.2,0.161584953
STXBP1,-1.7,2.40E-05
SLC2A8,0.1,0.708918597
ANGPTL2,1.1,0.005837423
CDK5RAP2,0.6,0.002613076
ZFP37,0.7,0.029605722
SLC31A2,1.1,0.032623484
SLC31A1,0.1,0.682822113
TLR4,1.2,0.013433355
ZNF189,0.3,0.184425023
ALDOB,-0.1,0.881874315
STX17,0.3,0.208771244
PRPF4,-0.3,0.00403574
FPGS,-0.1,0.793021206
USP20,-0.4,0.161974038
BAAT,-1.7,5.35E-05
KIF12,-0.4,0.56353561
ATP6V1G1,-0.4,0.051287091
GARNL3,-0.5,1.39E-04
MRPL50,0.2,0.465430778
WDR38,0.5,0.559374294
GABBR2,-1.2,1.42E-07
HEMGN,1.6,0.03693411
PSMB7,-0.7,0.008178655
NR5A1,0.5,0.516739009
RABEPK,-0.4,0.027871108
GOLGA1,0.4,0.010039046
XPA,0.1,0.791380836
NCBP1,0.3,0.077947292
ANP32B,1.8,1.66E-07
PDCL,0.7,0.102361273
RPL35,0.4,0.107742141
CTSV,0.6,0.306235173
ARPC5L,-1.2,2.34E-05
ENPP2,1,0.051411441
DSCC1,0.3,0.493577553
DERL1,0.1,0.734279714
MYC,0.9,0.006087183
CCN3,-0.8,0.121288002
IL33,1.4,0.021289248
DMAC1,-0.3,0.053851933
RANBP6,-0.8,6.97E-05
POLR1E,-0.2,0.382508432
PLAA,-0.1,0.532662056
IL11RA,0.4,0.078752977
APTX,0.1,0.424690975
RNF38,-0.2,0.387374649
TLN1,0.9,0.001099979
DNAJB5,-0.1,0.759558135
DCTN3,-0.7,0.040968527
CD72,0.8,0.070226662
TMEM8B,-0.3,0.123878187
GRHPR,0.1,0.756591585
ALDH1B1,-0.4,0.126430251
HINT2,-0.4,0.368285944
ARHGEF39,1,0.014308891
IGFBPL1,-0.2,0.867131006
DENND4C,0.4,0.26917006
RPS6,0.9,2.50E-08
CNPY3,0.3,0.398302462
FOXP4,-0.4,0.006868912
PPIL1,-0.4,0.106055504
KLC4,-0.2,0.575176216
KIF13A,1.3,1.01E-04
ZSCAN9,0.3,0.161551177
PIM1,0.6,0.017708584
GMPR,1.1,0.016377765
CMTR1,-0.4,0.039543588
TFAP2A,0.1,0.874787104
SLC22A7,-0.3,0.68831634
YIPF3,-0.3,0.240038517
TMEM14B,-0.4,0.065911452
TMEM63B,-0.8,0.002067973
FRS3,-0.7,0.011521597
TJAP1,1.1,2.97E-06
CAPN11,-0.9,0.193457243
TINAG,-1.5,0.025618828
HCRTR2,-0.3,0.708370781
KIAA0319,-0.7,3.93E-07
IRF4,0.3,0.730717332
SLC22A23,0.1,0.657206546
TUBB2A,-0.9,0.039351141
LRRC1,1.4,1.64E-12
FOXF2,0.2,0.621330942
BPHL,-0.1,0.690947988
RIPK1,0.3,0.057614728
TUBB2B,1.3,0.004254848
UQCC2,-0.3,0.074860649
HMGA1,-0.5,0.121608707
TCF19,0.8,0.052237945
FLOT1,-0.4,0.22829546
IER3,0.9,0.026153916
MDC1,0.2,0.171552481
PGBD1,-0.4,0.024465981
ATAT1,0.2,0.23141012
TPMT,-0.9,8.92E-11
RNF144B,1,7.58E-04
NRM,1.3,4.08E-06
MTCH1,-0.7,0.074531222
VARS2,0.2,0.618416368
TAF8,0.2,0.366913425
C6orf52,1.2,0.005543026
FGFBP2,1.1,0.14534719
CPEB2,0.7,0.130006699
TLR2,1.9,0.001629761
MGARP,0.9,0.056333818
TTC29,-0.1,0.9464801
MYO7A,0.1,0.923689759
FCHSD2,1.2,2.80E-04
ARRB1,0.2,0.475943939
SLCO2B1,0.8,0.037534003
THAP12,0.2,0.604593863
ANKRD42,-0.9,0.002203287
IL18BP,0.5,0.105663593
NUMA1,0.3,0.294786149
CCDC90B,0.8,0.002540942
SYTL2,0.2,0.683524179
RAB30,0.8,0.028852659
CREBZF,0.4,0.222280545
LRRC32,1.5,4.78E-07
PRCP,0.6,0.009104614
RNF121,-0.5,0.132884217
MRPL15,-0.8,2.37E-07
PI15,1.8,0.001279309
TTPA,1.3,0.028859714
GGH,-0.4,0.088508089
SLCO5A1,-0.4,0.444625471
SULF1,-0.1,0.859025242
TGS1,-0.1,0.709538806
SDCBP,0.3,0.17959596
NEK1,0.6,0.104243885
DDX60,1.4,0.002932278
SORL1,-0.7,5.21E-11
BUD13,-0.2,0.547969342
TRPC6,-0.5,0.220262607
CFAP300,1.3,0.028832117
DCUN1D5,-0.2,0.397115927
YAP1,1.3,0.014226128
TRIM29,-0.1,0.839743198
SLC37A4,-0.3,0.472076404
POU2F3,0.1,0.961136611
RDX,1.2,6.87E-04
PPP2R1B,0.9,0.01588223
FDX1,-0.2,0.475313358
C11orf1,0.1,0.784851738
FXYD6,-0.8,0.071631472
ARHGAP20,-1.1,6.80E-04
FXYD2,0.3,0.65717152
TMPRSS13,-0.5,0.481463359
CASP1,1.7,2.73E-05
CASP5,1.1,0.1615576
ALKBH8,-0.2,0.570410008
MAP2K5,-0.7,0.004166658
UNC13C,-0.8,0.068017069
SQOR,1.4,1.96E-06
CTDSPL2,0.2,0.54175094
SLTM,0.5,0.031648168
THBS1,1.2,5.43E-05
MAPKBP1,-0.1,0.818701049
NUSAP1,1.1,0.111457361
NDUFAF1,-0.2,0.517501408
KIF23,0.4,0.33213032
ITGA11,-0.6,0.251957624
KNL1,1.8,0.007785493
HAUS2,-0.2,0.326807218
RTF1,-0.3,0.153170432
PARP6,-0.3,0.199213132
RPLP1,0.5,0.079073819
LRRC49,-0.9,1.43E-05
TUBGCP4,-0.6,0.004001643
RMDN3,0.2,0.107136737
ITPKA,-1,0.037759098
UACA,1.2,0.001556331
SMAD6,1.5,3.74E-04
PLCB2,0.8,0.182139246
TMEM62,-0.3,0.058698297
PAK6,-0.7,0.011790425
ADAM10,0.7,0.046836337
DUOX1,0.7,0.016591827
SLC28A2,0.4,0.529952979
STRA6,-0.6,0.353764636
CYP19A1,0.7,0.432271191
ZNF280D,0.5,0.19309461
SEMA6D,0.1,0.710777871
BCL2L10,-1.3,0.014775216
RSL24D1,-0.6,0.019539023
SPTBN5,-0.1,0.850610877
GCOM1,0.4,0.569626043
GCHFR,-0.5,0.438455181
BCAR3,0.5,0.123804571
TTLL7,0.6,0.13417066
FNBP1L,0.4,0.132500418
KYAT3,-0.7,0.031438183
GTF2B,-0.3,0.016491869
BRDT,-0.1,0.891850416
RABGGTB,0.3,0.190396467
IFI44L,1.6,0.008453125
GIPC2,0.8,0.127951735
ARHGAP29,0.9,0.034676944
IFI44,1.4,3.51E-04
SLC44A5,-0.4,0.309112076
RPL7P9,0.4,0.197566617
CLCA2,1.4,0.018531988
DNASE2B,0.6,0.44940222
DBT,0.4,0.156207012
RTCA,-0.6,0.001517211
IFT172,-0.3,0.237426253
SELENOI,-0.5,2.36E-04
CGREF1,-1.1,0.006674858
HADHB,1.3,4.73E-04
KHK,-0.8,0.089750395
PPM1B,0.6,0.068017069
PNPT1,0.5,0.030520203
DYNC2LI1,-0.2,0.50823069
LHCGR,0.7,0.409187357
CYP1B1,1,0.129119207
RAB1A,-0.5,9.38E-05
ACTR2,-0.5,0.026936264
SLC5A6,0.4,0.327678336
ABCG5,-0.6,0.239668704
PREPL,-1.1,2.64E-07
SLC3A1,0.7,0.271059704
EMILIN1,1.1,2.56E-04
FBXO11,-0.4,0.019341972
SIX3,0.6,0.499573191
ATRAID,0.4,0.026455431
CENPO,-0.4,0.116330793
LRPPRC,-0.5,0.007701903
TRIM54,-1.9,1.41E-10
DTNB,-0.7,4.12E-04
ACTR1A,-0.7,2.71E-04
MFSD13A,-0.3,0.150242946
CYP2C8,-0.2,0.627830111
MYOF,1,0.002675306
LOXL4,1,0.041519047
STAMBPL1,-1.2,2.37E-05
ATAD1,-0.3,0.358996139
BTBD16,1.2,0.018489378
KIF11,0.3,0.420202208
CUZD1,0.3,0.590164678
TACC2,-0.7,5.56E-04
DUSP5,-0.1,0.910641223
CALHM2,-0.1,0.907147858
ARL3,-0.5,7.05E-04
CEP55,2.1,0.006372122
ENTPD1,0.5,6.68E-06
EXOC6,-0.7,0.002592449
PLCE1,0.5,0.001484237
RBP4,-0.7,0.243931363
DBR1,0.1,0.644018017
GPR87,-1.3,0.095264775
ANXA7,-0.1,0.583977784
FAM149B1,0.4,0.092136538
ASCC1,0.8,1.19E-05
ZNF365,-1.2,6.71E-07
ADAMTS14,0.4,0.242817352
RPS24,0.4,0.037764286
TET1,0.9,0.095833944
DNA2,1,3.55E-04
AOX1,0.9,0.022999217
ATIC,-0.1,0.447221416
SMARCAL1,-0.2,0.202308434
BARD1,1.1,0.01726907
STAT4,-2.1,2.19E-10
MSTN,0.4,0.397483686
CARF,0.7,0.102239915
ASNSD1,-0.4,0.043791944
METTL5,-0.3,0.082001111
SSB,-0.3,0.060659431
PPIG,0.1,0.721606359
MDH1B,-1,6.06E-04
IDH1,0.8,0.001282739
OLA1,-0.9,2.85E-07
CIR1,0.2,0.566511981
ITPRID2,1.2,6.76E-04
CHRNA1,-1.1,0.030997034
FAM117B,-0.2,0.602136064
WDR12,-0.9,3.38E-04
ABI2,-0.3,0.143471306
ITGAV,1.1,0.031002163
SLC40A1,1.3,8.18E-06
SLC35A5,0.4,0.283715614
SLC49A4,0.6,0.087743167
SENP7,0.9,0.050428714
GUCA1C,-1.7,0.005453466
COX17,-0.5,0.019892496
PARP9,1.9,7.02E-08
MNS1,0.1,0.834244349
SECISBP2L,1.1,0.020153062
TMOD3,0.8,0.009224494
SPPL2A,0.9,0.018164678
GLCE,-0.7,3.05E-07
SHF,-0.7,0.057262935
APH1B,0.5,0.15072479
CILP,-0.2,0.758518102
PARP16,0.3,0.151435502
HCN4,-0.6,0.348120385
SEMA7A,-1.5,8.93E-10
UBL7,-0.8,0.02092619
ARHGAP24,-1,1.16E-05
FAM13A,-0.6,0.029965832
HERC3,-0.7,4.86E-07
HERC6,-0.6,0.151927511
HERC5,1.7,6.85E-07
PCDH10,0.1,0.593697096
NDST4,0.5,0.609779917
ZGRF1,0.7,0.170369175
AP1AR,-0.6,0.008550224
COPS4,-0.8,7.78E-04
HNRNPD,0.1,0.715361966
PRKG2,0.3,0.397483511
RASGEF1B,0.1,0.772581294
SEC31A,-0.1,0.376535103
FGF5,-1,0.076001876
GPAT3,-2.1,3.53E-05
FGF2,1.7,0.005376445
BBS7,-0.8,1.13E-05
KIAA1109,0.2,0.481898121
BMPR1B,1.4,0.027653249
RAP1GDS1,-0.3,0.206956386
LARP1B,-0.3,0.411333558
MMRN1,1.9,8.83E-04
PDE5A,0.6,0.143220836
TRPC3,-0.4,0.469150445
NAAA,-0.4,0.211855449
NUP54,-0.1,0.840417732
CXCL9,-0.7,0.39489439
BMP2K,-0.3,0.269837779
G3BP2,-1.3,1.40E-09
SEPTIN11,-0.1,0.46250493
FRAS1,-0.8,0.012796173
SCARB2,0.5,0.14556161
CCNG2,0.2,0.516274554
CNOT6L,0.6,0.076763556
CDKL2,-1.1,0.001477809
SHROOM3,-0.2,0.515772182
ANXA3,0.2,0.799358585
PPA2,-0.1,0.715975291
CENPE,0.6,0.074434619
GSTCD,0.4,0.198803123
INTS12,0.2,0.473699921
ENPEP,1.8,2.75E-07
CASP6,0.7,0.072668715
LEF1,0.9,0.001053001
HADH,0.4,0.002289197
EGF,0.2,0.619666619
PAPSS1,0.1,0.638409996
SEC24B,0.2,0.360029768
PPP3CA,-0.9,0.022533855
SLC39A8,0.1,0.903892397
MTTP,0.6,0.282858109
FBN2,0.9,0.077947292
MAPK8IP3,-0.6,0.023548575
RGS3,0.4,0.064656561
GUCD1,0.7,2.11E-05
RNF185,-0.1,0.570424695
SHISAL1,-0.7,0.122060447
PARVG,1.4,0.025246321
B4GALNT3,-0.9,1.98E-06
PDE6H,-1.4,0.014079246
ERP27,-0.4,0.684879347
ETV6,0.2,0.199769394
GABARAPL1,-1.4,1.31E-05
KIF21A,-0.6,0.018922088
CPNE8,-0.3,0.477397821
YARS2,-0.8,0.012322103
FGD4,0.9,0.020503711
ALG10,0.1,0.808919548
PIK3C2G,-0.1,0.932027963
SINHCAF,1.5,2.11E-04
AEBP2,0.2,0.473552538
SLCO1C1,1,0.205119415
ETFBKMT,-0.1,0.685080868
ZCRB1,0.7,0.045953658
TMEM117,0.6,0.033032545
PRICKLE1,-1.4,2.54E-16
C1RL,0.1,0.905584851
NDUFA9,-0.7,1.44E-05
CLSTN3,-1.6,0.00447369
KLRG1,0.5,0.047289916
VAMP1,-2.4,1.72E-20
TAPBPL,0.7,0.001090931
CD27,0.9,0.123821014
RBP5,-1,0.015852231
PEX5,-0.2,0.39839167
PIANP,-0.8,0.014340811
SLC38A4,0.2,0.850999279
AMIGO2,-0.3,0.554987307
SCAF11,0.6,0.038771797
COL2A1,-1.6,0.011802444
PPFIA2,-0.5,0.170276706
LLPH,0.3,0.390447261
RPL14P1,-0.2,0.668176854
LRIG3,0.8,0.058666175
MARCHF9,-0.4,0.118698993
INHBE,0.5,0.426305167
GLIPR1,-1.2,1.94E-06
TPH2,-1.3,0.06440313
PHLDA1,1.2,1.12E-04
TMEM19,0.6,0.056857021
LGR5,1.9,2.53E-06
PTPRQ,-1.6,0.012652276
DUSP6,-0.3,0.417643123
POC1B,1.2,0.003137668
TMTC3,-0.1,0.907439449
LUM,-0.1,0.794243311
SNRPF,0.2,0.310662745
AMDHD1,-0.4,0.418831099
NEDD1,1.2,0.003781862
SYCP3,-0.2,0.766272406
ASCL1,1.3,0.002091947
GAS2L3,1.4,3.47E-05
TMEM132B,-0.5,0.001532832
SLC15A4,0.3,0.26156355
TDG,-0.2,0.291095821
RITA1,-0.9,0.008808137
SDSL,0.6,0.160717999
MMAB,-0.1,0.518626618
GLTP,1.3,3.50E-05
GIT2,-0.4,0.145999999
TCHP,0.3,0.111640077
FAM222A,0.7,0.032434354
FOXN4,-0.9,0.222299959
NUP58,0.1,0.885806465
MTMR6,-0.2,0.584230992
SLC46A3,-0.2,0.498781696
SLC7A1,-0.2,0.092927392
LNX2,-0.2,0.684585156
SUOX,-0.1,0.836746051
CCDC65,-0.8,0.031987808
SLC39A5,0.2,0.811129921
RDH16,1.1,0.00915726
DHH,-0.2,0.798856525
ACVRL1,1,0.024920061
GPR84,1.6,0.026185535
NABP2,-0.6,0.004538024
N4BP2L1,-0.1,0.574733318
SMARCC2,-0.1,0.654996985
BRCA2,1,0.039094548
KANSL2,-0.1,0.703860375
CERS5,0.1,0.308339559
MAP3K12,-0.6,0.086843607
ITGB7,0.5,0.48867157
GALNT6,0.7,0.197242
CSAD,0.8,3.13E-05
MYG1,-1,1.66E-04
ESYT1,-0.9,2.31E-04
TMBIM6,0.8,0.016898845
ANKRD52,-0.5,0.006784179
ZNF740,-0.1,0.616061623
WDFY2,1,0.00336361
HNRNPA1L2,-0.6,0.027110081
LPAR6,0.7,0.020769423
ESD,-0.3,0.050304362
RB1,0.6,0.032425797
SBNO1,-0.7,1.89E-12
MORN3,-1.1,0.00646009
SETD1B,-0.3,0.088290758
VPS33A,-0.3,0.065911452
VPS37B,0.2,0.306253483
RHOF,-0.9,0.161121609
DENR,-0.5,0.00374947
DIAPH3,1,0.105691838
SLAIN1,1.2,0.00170604
RBM26,0.4,0.28950553
SRRM4,-1.4,4.20E-06
METTL21C,-1.3,0.079619898
MBNL2,0.2,0.594426196
ZIC5,1.4,0.010590137
ABHD13,-0.2,0.522327553
RAB20,2.1,6.98E-10
GRTP1,1.2,0.00192923
CUL4A,0.1,0.337769198
TTC6,-0.5,0.564506632
SSTR1,0.1,0.865947776
CDH24,0.6,0.098052613
REM2,-1,0.024405739
CBLN3,0.1,0.883560469
TSSK4,0.3,0.223299576
FITM1,0.5,0.506199251
MDGA2,0.7,0.129327179
TMX1,1.1,0.004314732
FRMD6,-0.1,0.878196477
PELI2,1.4,0.001612037
RTN1,-1.5,5.51E-04
ARMH4,0.5,0.149777193
SYT16,-1.3,7.63E-22
SLC38A6,0.1,0.89653894
NAA30,-0.5,1.80E-04
ADAM21,-0.9,0.104913419
RDH12,-1.4,4.40E-06
DCAF5,0.2,0.148882542
RAB15,-1.4,1.08E-04
WDR89,0.3,0.424743855
ESR2,-0.8,0.273081939
KCNH5,-1.2,8.14E-04
STON2,1.7,9.47E-04
EFCAB11,0.8,0.016485171
GPR65,1.6,0.002260217
PTGR2,0.5,0.13092516
JDP2,-0.4,0.075140489
AK7,-0.1,0.731124004
