ENSMUSG00000051951	Xkr4
ENSMUSG00000038192	Cer1
ENSMUSG00000059049	Frem1
ENSMUSG00000038172	Ttc39b
ENSMUSG00000086321	Gm11413
ENSMUSG00000087592	Gm11184
ENSMUSG00000028483	Snapc3
ENSMUSG00000028484	Psip1
ENSMUSG00000052407	Ccdc171
ENSMUSG00000085378	Gm11415
ENSMUSG00000085217	6030471H07Rik
ENSMUSG00000087378	Gm12414
ENSMUSG00000028487	Bnc2
ENSMUSG00000086413	Gm12415
ENSMUSG00000038070	Cntln
ENSMUSG00000028488	Sh3gl2
ENSMUSG00000066113	Adamtsl1
ENSMUSG00000028492	Saxo1
ENSMUSG00000085108	Saxo1os
ENSMUSG00000070934	Rraga
ENSMUSG00000038047	Haus6
ENSMUSG00000028494	Plin2
ENSMUSG00000038024	Dennd4c
ENSMUSG00000028495	Rps6
ENSMUSG00000038007	Acer2
ENSMUSG00000037996	Slc24a2
ENSMUSG00000086512	Gm12600
ENSMUSG00000028496	Mllt3
ENSMUSG00000084809	Gm12631
ENSMUSG00000038368	Focad
ENSMUSG00000028497	Hacd4
ENSMUSG00000048806	Ifnb1
ENSMUSG00000096011	Ifna15
ENSMUSG00000095896	Ifna14
ENSMUSG00000095270	Ifna9
ENSMUSG00000073811	Ifna12
ENSMUSG00000038330	C87499
ENSMUSG00000063376	Ifna13
ENSMUSG00000078355	Ifna16
ENSMUSG00000078354	Ifna2
ENSMUSG00000100079	Ifnab
ENSMUSG00000070923	Klhl9
ENSMUSG00000097078	Gm26566
ENSMUSG00000086074	Gm13274
ENSMUSG00000094618	Gm13271
ENSMUSG00000085473	Gm16686
ENSMUSG00000100505	Gm13283
ENSMUSG00000094271	Gm13290
ENSMUSG00000096582	Gm13289
ENSMUSG00000096591	Gm13272
ENSMUSG00000096854	Ifnz
ENSMUSG00000096987	Gm26525
ENSMUSG00000099545	Gm13276
ENSMUSG00000100234	Gm13277
ENSMUSG00000101163	Gm13278
ENSMUSG00000099518	Gm13275
ENSMUSG00000097873	Gm26867
ENSMUSG00000099420	Gm13279
ENSMUSG00000095101	Gm13285
ENSMUSG00000094648	Gm13287
ENSMUSG00000070908	Gm13288
ENSMUSG00000100713	Ifna7
ENSMUSG00000100549	Ifna11
ENSMUSG00000101252	Ifna6
ENSMUSG00000096682	Ifna5
ENSMUSG00000070904	Ifna4
ENSMUSG00000095498	Ifna1
ENSMUSG00000054351	4930553M12Rik
ENSMUSG00000045364	Ifne
ENSMUSG00000085183	Gm12603
ENSMUSG00000062937	Mtap
ENSMUSG00000087659	Gm12606
ENSMUSG00000044303	Cdkn2a
ENSMUSG00000073802	Cdkn2b
ENSMUSG00000043753	Dmrta1
ENSMUSG00000085690	Gm12629
ENSMUSG00000070902	Zfp352
ENSMUSG00000008489	Elavl2
ENSMUSG00000085817	Gm12668
ENSMUSG00000086042	Gm12670
ENSMUSG00000087517	4930577H14Rik
ENSMUSG00000028533	Izumo3
ENSMUSG00000066107	Gm12666
ENSMUSG00000085209	Gm12637
ENSMUSG00000054000	Tusc1
ENSMUSG00000084833	Gm12649
ENSMUSG00000085931	Gm12648
ENSMUSG00000028578	Caap1
ENSMUSG00000070900	Gm10306
ENSMUSG00000028577	Plaa
ENSMUSG00000028576	Ift74
ENSMUSG00000049799	Lrrc19
ENSMUSG00000006386	Tek
ENSMUSG00000028575	Eqtn
ENSMUSG00000062627	Mysm1
ENSMUSG00000086251	Gm12694
ENSMUSG00000052684	Jun
ENSMUSG00000087366	Junos
ENSMUSG00000085377	4930551L18Rik
ENSMUSG00000084918	Gm12708
ENSMUSG00000100129	Gm29064
ENSMUSG00000028573	Fggy
ENSMUSG00000028572	Hook1
ENSMUSG00000028571	Cyp2j13
ENSMUSG00000081225	Cyp2j12
ENSMUSG00000081362	Cyp2j7
ENSMUSG00000066097	Cyp2j11
ENSMUSG00000082932	Cyp2j8
ENSMUSG00000052914	Cyp2j6
ENSMUSG00000015224	Cyp2j9
ENSMUSG00000052520	Cyp2j5
ENSMUSG00000078639	Gm12695
ENSMUSG00000066990	Gm10192
ENSMUSG00000048747	E130114P18Rik
ENSMUSG00000028565	Nfia
ENSMUSG00000046683	0610025J13Rik
ENSMUSG00000028563	Tm2d1
ENSMUSG00000061859	Inadl
ENSMUSG00000087166	L1td1
ENSMUSG00000035407	Kank4
ENSMUSG00000085843	Kank4os
ENSMUSG00000073794	I0C0044D17Rik
ENSMUSG00000028560	Usp1
ENSMUSG00000028556	Dock7
ENSMUSG00000028553	Angptl3
ENSMUSG00000087395	Gm12705
ENSMUSG00000086498	Gm12681
ENSMUSG00000028550	Atg4c
ENSMUSG00000070891	Gm12689
ENSMUSG00000087332	Gm12690
ENSMUSG00000086096	Gm12688
ENSMUSG00000067261	Foxd3
ENSMUSG00000086592	Gm12682
ENSMUSG00000073792	Alg6
ENSMUSG00000028549	Itgb3bp
ENSMUSG00000073791	Efcab7
ENSMUSG00000025791	Pgm2
ENSMUSG00000085142	Gm12702
ENSMUSG00000035305	Ror1
ENSMUSG00000069733	Ube2u
ENSMUSG00000085871	Ube2uos
ENSMUSG00000028532	Cachd1
ENSMUSG00000073789	Gm10577
ENSMUSG00000035275	Raver2
ENSMUSG00000028530	Jak1
ENSMUSG00000085863	Gm12801
ENSMUSG00000085721	Gm12796
ENSMUSG00000086782	E130102H24Rik
ENSMUSG00000087361	0610043K17Rik
ENSMUSG00000084758	Gm12798
ENSMUSG00000028527	Ak4
ENSMUSG00000028528	Dnajc6
ENSMUSG00000035212	Leprot
ENSMUSG00000057722	Lepr
ENSMUSG00000035201	B020004J07Rik
ENSMUSG00000046133	C130073F10Rik
ENSMUSG00000037028	Gm12800
ENSMUSG00000070890	Gm12794
ENSMUSG00000078626	Gm12790
ENSMUSG00000078625	Gm12789
ENSMUSG00000028525	Pde4b
ENSMUSG00000028524	Sgip1
ENSMUSG00000085181	Gm12709
ENSMUSG00000028523	Tctex1d1
ENSMUSG00000085041	BB031773
ENSMUSG00000066090	Insl5
ENSMUSG00000035126	Wdr78
ENSMUSG00000028522	Mier1
ENSMUSG00000028521	Slc35d1
ENSMUSG00000107726	Gm44037
ENSMUSG00000028520	4921539E11Rik
ENSMUSG00000078618	4930456L15Rik
ENSMUSG00000035069	Oma1
ENSMUSG00000086136	Gm12718
ENSMUSG00000028519	Dab1
ENSMUSG00000029656	C8b
ENSMUSG00000035031	C8a
ENSMUSG00000095386	Gm17662
ENSMUSG00000078612	1700024P16Rik
ENSMUSG00000028518	Prkaa2
ENSMUSG00000028517	Plpp3
ENSMUSG00000083780	Gm12728
ENSMUSG00000085790	Gm12729
ENSMUSG00000087051	Gm12730
ENSMUSG00000028514	Usp24
ENSMUSG00000044254	Pcsk9
ENSMUSG00000025418	Bsnd
ENSMUSG00000085933	Tmem61
ENSMUSG00000086172	2700068H02Rik
ENSMUSG00000034926	Dhcr24
ENSMUSG00000085023	Gm12744
ENSMUSG00000054362	Lexm
ENSMUSG00000034919	Ttc22
ENSMUSG00000043572	Pars2
ENSMUSG00000025413	Ttc4
ENSMUSG00000047502	Mroh7
ENSMUSG00000034871	Fam151a
ENSMUSG00000034853	Acot11
ENSMUSG00000086940	Gm12746
ENSMUSG00000061887	Ssbp3
ENSMUSG00000085581	Gm12786
ENSMUSG00000028622	Mrpl37
ENSMUSG00000028621	Cyb5rl
ENSMUSG00000047636	Cdcp2
ENSMUSG00000085304	Gm12802
ENSMUSG00000028619	Tceanc2
ENSMUSG00000028618	Tmem59
ENSMUSG00000070877	Ldlrad1
ENSMUSG00000028617	Lrrc42
ENSMUSG00000063172	Hspb11
ENSMUSG00000034785	Dio1
ENSMUSG00000057375	Yipf1
ENSMUSG00000086041	Gm12869
ENSMUSG00000028614	Ndc1
ENSMUSG00000034762	Glis1
ENSMUSG00000028610	Dmrtb1
ENSMUSG00000085549	1700047F07Rik
ENSMUSG00000087195	Gm12907
ENSMUSG00000087289	4933424M12Rik
ENSMUSG00000028613	Lrp8
ENSMUSG00000073779	Lrp8os2
ENSMUSG00000028612	Lrp8os1
ENSMUSG00000028609	Magoh
ENSMUSG00000028608	0610037L13Rik
ENSMUSG00000028607	Cpt2
ENSMUSG00000086713	4930407G08Rik
ENSMUSG00000008932	Slc1a7
ENSMUSG00000028600	Podn
ENSMUSG00000028603	Scp2
ENSMUSG00000028601	Echdc2
ENSMUSG00000034645	Zyg11a
ENSMUSG00000034636	Zyg11b
ENSMUSG00000048351	Coa7
ENSMUSG00000059816	Fam159a
ENSMUSG00000028597	Gpx7
ENSMUSG00000034610	Zcchc11
ENSMUSG00000063800	Prpf38a
ENSMUSG00000028587	Orc1
ENSMUSG00000028582	Cc2d1b
ENSMUSG00000091985	Gm17354
ENSMUSG00000034557	Zfyve9
ENSMUSG00000094958	3110021N24Rik
ENSMUSG00000028568	Btf3l4
ENSMUSG00000028567	Txndc12
ENSMUSG00000090551	A730015C16Rik
ENSMUSG00000073775	Kti12
ENSMUSG00000003411	Rab3b
ENSMUSG00000086483	8030443G20Rik
ENSMUSG00000053510	Nrd1
ENSMUSG00000028559	Osbpl9
ENSMUSG00000028558	Calr4
ENSMUSG00000028552	Eps15
ENSMUSG00000085873	Ttc39aos1
ENSMUSG00000028555	Ttc39a
ENSMUSG00000028557	Rnf11
ENSMUSG00000060491	4930522H14Rik
ENSMUSG00000028551	Cdkn2c
ENSMUSG00000010517	Faf1
ENSMUSG00000085256	Dmrta2os
ENSMUSG00000047143	Dmrta2
ENSMUSG00000028546	Elavl4
ENSMUSG00000061298	Agbl4
ENSMUSG00000028545	Bend5
ENSMUSG00000034401	Spata6
ENSMUSG00000028544	Slc5a9
ENSMUSG00000078599	Skint8
ENSMUSG00000049214	Skint7
ENSMUSG00000089773	Skint1
ENSMUSG00000055960	Skint4
ENSMUSG00000070868	Skint3
ENSMUSG00000049972	Skint9
ENSMUSG00000034359	Skint2
ENSMUSG00000048766	Skint10
ENSMUSG00000087194	Skint6
ENSMUSG00000085878	Gm12823
ENSMUSG00000078598	Skint5
ENSMUSG00000057977	Skint11
ENSMUSG00000070867	Trabd2b
ENSMUSG00000100998	Gm28864
ENSMUSG00000085870	Gm12829
ENSMUSG00000085323	9130410C08Rik
ENSMUSG00000055198	Gm12830
ENSMUSG00000055210	Foxd2
ENSMUSG00000044518	Foxe3
ENSMUSG00000028719	Cmpk1
ENSMUSG00000028718	Stil
ENSMUSG00000028717	Tal1
ENSMUSG00000028716	Pdzk1ip1
ENSMUSG00000047155	Cyp4x1
ENSMUSG00000086896	Cyp4x1os
ENSMUSG00000083138	Cyp4a29
ENSMUSG00000066071	Cyp4a12a
ENSMUSG00000078597	Cyp4a12b
ENSMUSG00000084346	Cyp4a30b
ENSMUSG00000028715	Cyp4a14
ENSMUSG00000066072	Cyp4a10
ENSMUSG00000028712	Cyp4a31
ENSMUSG00000063929	Cyp4a32
ENSMUSG00000028713	Cyp4b1
ENSMUSG00000034210	Efcab14
ENSMUSG00000044556	Tex38
ENSMUSG00000028710	Atpaf1
ENSMUSG00000085249	Gm12847
ENSMUSG00000028709	Mob3c
ENSMUSG00000028708	Mknk1
ENSMUSG00000100081	Gm29434
ENSMUSG00000073774	Kncn
ENSMUSG00000034185	6430628N08Rik
ENSMUSG00000028707	Dmbx1
ENSMUSG00000034171	Faah
ENSMUSG00000028706	Nsun4
ENSMUSG00000063882	Uqcrh
ENSMUSG00000028703	Lrrc41
ENSMUSG00000028702	Rad54l
ENSMUSG00000028700	Pomgnt1
ENSMUSG00000028701	Lurap1
ENSMUSG00000028699	Tspan1
ENSMUSG00000078593	1700042G07Rik
ENSMUSG00000085920	Gm12951
ENSMUSG00000028698	Pik3r3
ENSMUSG00000003810	Mast2
ENSMUSG00000028696	Ipp
ENSMUSG00000055900	Tmem69
ENSMUSG00000087299	Gm12953
ENSMUSG00000034042	Gpbp1l1
ENSMUSG00000034035	Ccdc17
ENSMUSG00000028693	Nasp
ENSMUSG00000028692	Akr1a1
ENSMUSG00000028691	Prdx1
ENSMUSG00000028690	Mmachc
ENSMUSG00000028689	Ccdc163
ENSMUSG00000033985	Tesk2
ENSMUSG00000028688	Toe1
ENSMUSG00000028687	Mutyh
ENSMUSG00000043155	Hpdl
ENSMUSG00000086417	Gm12996
ENSMUSG00000033948	Zswim5
ENSMUSG00000028684	Urod
ENSMUSG00000046861	Hectd3
ENSMUSG00000086890	1700021J08Rik
ENSMUSG00000028683	Eif2b3
ENSMUSG00000028681	Ptch2
ENSMUSG00000073771	Btbd19
ENSMUSG00000047671	Tctex1d4
ENSMUSG00000028680	Plk3
ENSMUSG00000047675	Rps8
ENSMUSG00000028678	Kif2c
ENSMUSG00000060268	Gm1661
ENSMUSG00000048772	Tmem53
ENSMUSG00000028677	Rnf220
ENSMUSG00000085749	Gm12843
ENSMUSG00000086876	Gm12828
ENSMUSG00000087228	Gm12827
ENSMUSG00000033423	Eri3
ENSMUSG00000009640	Dmap1
ENSMUSG00000086320	Gm12840
ENSMUSG00000108127	Gm12845
ENSMUSG00000048626	Klf17
ENSMUSG00000028542	Slc6a9
ENSMUSG00000078588	Ccdc24
ENSMUSG00000028541	B4galt2
ENSMUSG00000085278	Gm12841
ENSMUSG00000033379	Atp6v0b
ENSMUSG00000028540	Dph2
ENSMUSG00000033365	Ipo13
ENSMUSG00000028539	Artn
ENSMUSG00000028538	St3gal3
ENSMUSG00000086554	9530034E10Rik
ENSMUSG00000033326	Kdm4a
ENSMUSG00000033295	Ptprf
ENSMUSG00000033253	Szt2
ENSMUSG00000006392	Med8
ENSMUSG00000006390	Elovl1
ENSMUSG00000006398	Cdc20
ENSMUSG00000006389	Mpl
ENSMUSG00000033191	Tie1
ENSMUSG00000028536	2610528J11Rik
ENSMUSG00000050854	Tmem125
ENSMUSG00000028730	Cfap57
ENSMUSG00000028729	Ebna1bp2
ENSMUSG00000085292	Gm12853
ENSMUSG00000043698	Olfr62
ENSMUSG00000043383	Olfr1342
ENSMUSG00000046790	Olfr1341
ENSMUSG00000070821	Olfr1340
ENSMUSG00000070820	Olfr1339
ENSMUSG00000095218	Olfr1338
ENSMUSG00000061075	Olfr1337
ENSMUSG00000066061	Olfr1335
ENSMUSG00000073770	Olfr1333
ENSMUSG00000073769	Olfr1331
ENSMUSG00000073768	Olfr1330
ENSMUSG00000096705	Olfr1329
ENSMUSG00000096368	Olfr1328
ENSMUSG00000073765	Gm12863
ENSMUSG00000024903	Lao1
ENSMUSG00000087238	Gm12865
ENSMUSG00000087464	Gm12862
ENSMUSG00000066060	Gm12866
ENSMUSG00000028645	Slc2a1
ENSMUSG00000086683	Gm12867
ENSMUSG00000085505	Gm12868
ENSMUSG00000045268	Zfp691
ENSMUSG00000028644	Ermap
ENSMUSG00000028643	Svbp
ENSMUSG00000078584	AU022252
ENSMUSG00000028642	4930538K18Rik
ENSMUSG00000028641	P3h1
ENSMUSG00000085203	Gm12927
ENSMUSG00000066058	Cldn19
ENSMUSG00000028639	Ybx1
ENSMUSG00000060288	Ppih
ENSMUSG00000028637	Ccdc30
ENSMUSG00000028636	Ppcs
ENSMUSG00000070806	Zmynd12
ENSMUSG00000048899	Rimkla
ENSMUSG00000087385	AA415398
ENSMUSG00000032998	Foxj3
ENSMUSG00000023247	Guca2a
ENSMUSG00000032978	Guca2b
ENSMUSG00000028634	Hivep3
ENSMUSG00000028635	Edn2
ENSMUSG00000052135	Foxo6
ENSMUSG00000084929	Foxo6os
ENSMUSG00000000085	Scmh1
ENSMUSG00000047518	Slfnl1
ENSMUSG00000028633	Ctps
ENSMUSG00000091297	Gm8439
ENSMUSG00000086187	Gm12860
ENSMUSG00000070803	Cited4
ENSMUSG00000028631	Kcnq4
ENSMUSG00000032897	Nfyc
ENSMUSG00000032890	Rims3
ENSMUSG00000028629	Exo5
ENSMUSG00000064141	Zfp69
ENSMUSG00000032870	Smap2
ENSMUSG00000028626	Col9a2
ENSMUSG00000043207	Zmpste24
ENSMUSG00000078577	Tmco2
ENSMUSG00000049878	Rlf
ENSMUSG00000073764	Gm12888
ENSMUSG00000078576	Gm12886
ENSMUSG00000078575	Gm12887
ENSMUSG00000023263	9530002B09Rik
ENSMUSG00000028657	Ppt1
ENSMUSG00000028656	Cap1
ENSMUSG00000028655	Mfsd2a
ENSMUSG00000028654	Mycl
ENSMUSG00000028653	Trit1
ENSMUSG00000086153	Gm12923
ENSMUSG00000002384	Bmp8b
ENSMUSG00000076438	Oxct2b
ENSMUSG00000028651	Ppie
ENSMUSG00000046093	Hpcal4
ENSMUSG00000054958	Nt5c1a
ENSMUSG00000032744	Heyl
ENSMUSG00000011257	Pabpc4
ENSMUSG00000032726	Bmp8a
ENSMUSG00000076436	Oxct2a
ENSMUSG00000028649	Macf1
ENSMUSG00000087307	Gm12925
ENSMUSG00000028648	Ndufs5
ENSMUSG00000023075	Akirin1
ENSMUSG00000043333	Rhbdl2
ENSMUSG00000086275	1700121C08Rik
ENSMUSG00000073761	4933427I04Rik
ENSMUSG00000097337	Gm26606
ENSMUSG00000028647	Mycbp
ENSMUSG00000085875	Gm12905
ENSMUSG00000028646	Rragc
ENSMUSG00000096969	4930535I16Rik
ENSMUSG00000086087	Gm12916
ENSMUSG00000086955	1700021L23Rik
ENSMUSG00000086978	4933435F18Rik
ENSMUSG00000084757	1700057H15Rik
ENSMUSG00000098760	Gm27247
ENSMUSG00000073759	4933407E24Rik
ENSMUSG00000051219	3100002H09Rik
ENSMUSG00000090125	Pou3f1
ENSMUSG00000028907	Utp11l
ENSMUSG00000032643	Fhl3
ENSMUSG00000028902	Sf3a3
ENSMUSG00000028894	Inpp5b
ENSMUSG00000028890	Mtf1
ENSMUSG00000078570	1110065P20Rik
ENSMUSG00000028889	Yrdc
ENSMUSG00000042763	Maneal
ENSMUSG00000028876	Epha10
ENSMUSG00000085263	1700125G02Rik
ENSMUSG00000028873	Cdca8
ENSMUSG00000087011	Gm12930
ENSMUSG00000028871	Rspo1
ENSMUSG00000028869	Gnl2
ENSMUSG00000042707	Dnali1
ENSMUSG00000050213	Snip1
ENSMUSG00000086342	Gm12932
ENSMUSG00000028863	Meaf6
ENSMUSG00000042677	Zc3h12a
ENSMUSG00000087010	1700041M05Rik
ENSMUSG00000001985	Grik3
ENSMUSG00000085562	2610028E06Rik
ENSMUSG00000028859	Csf3r
ENSMUSG00000028861	Mrps15
ENSMUSG00000042616	Oscp1
ENSMUSG00000050188	Lsm10
ENSMUSG00000042608	Stk40
ENSMUSG00000086961	Gm12946
ENSMUSG00000050212	Eva1b
ENSMUSG00000073758	Sh3d21
ENSMUSG00000043962	Thrap3
ENSMUSG00000028849	Map7d1
ENSMUSG00000028847	Trappc3
ENSMUSG00000056174	Col8a2
ENSMUSG00000042558	Adprhl2
ENSMUSG00000028845	Tekt2
ENSMUSG00000028842	Ago3
ENSMUSG00000041530	Ago1
ENSMUSG00000042500	Ago4
ENSMUSG00000042489	Clspn
ENSMUSG00000073755	5730409E04Rik
ENSMUSG00000028837	Psmb2
ENSMUSG00000042477	Tfap2e
ENSMUSG00000028833	Ncdn
ENSMUSG00000028830	AU040320
ENSMUSG00000042446	Zmym4
ENSMUSG00000028820	Sfpq
ENSMUSG00000043872	Zmym1
ENSMUSG00000042408	Zmym6
ENSMUSG00000070737	Gm12942
ENSMUSG00000042388	Dlgap3
ENSMUSG00000042380	Smim12
ENSMUSG00000050234	Gja4
ENSMUSG00000042367	Gjb3
ENSMUSG00000046623	Gjb4
ENSMUSG00000042357	Gjb5
ENSMUSG00000086138	4930471C06Rik
ENSMUSG00000086771	1700080G11Rik
ENSMUSG00000087470	A630031M04Rik
ENSMUSG00000087510	1700112K13Rik
ENSMUSG00000028813	CK137956
ENSMUSG00000028804	Csmd2
ENSMUSG00000087459	Csmd2os
ENSMUSG00000048686	Hmgb4
ENSMUSG00000085717	Hmgb4os
ENSMUSG00000061894	Zscan20
ENSMUSG00000062545	Tlr12
ENSMUSG00000084891	Gm12958
ENSMUSG00000028796	Phc2
ENSMUSG00000028794	A3galt2
ENSMUSG00000028799	Zfp362
ENSMUSG00000085701	Gm12968
ENSMUSG00000041000	Trim62
ENSMUSG00000028789	Azin2
ENSMUSG00000085961	Gm15904
ENSMUSG00000028792	Ak2
ENSMUSG00000085085	1700086P04Rik
ENSMUSG00000028793	Rnf19b
ENSMUSG00000028786	Tmem54
ENSMUSG00000028785	Hpca
ENSMUSG00000087416	Gm15906
ENSMUSG00000001334	Fndc5
ENSMUSG00000040928	S100pbp
ENSMUSG00000028811	Yars
ENSMUSG00000050390	C77080
ENSMUSG00000087575	Gm12976
ENSMUSG00000001333	Sync
ENSMUSG00000057236	Rbbp4
ENSMUSG00000096944	Gm26722
ENSMUSG00000057572	Zbtb8os
ENSMUSG00000028807	Zbtb8a
ENSMUSG00000048485	Zbtb8b
ENSMUSG00000040859	Bsdc1
ENSMUSG00000000411	Tssk3
ENSMUSG00000078554	Fam229a
ENSMUSG00000086336	Gm12979
ENSMUSG00000047945	Marcksl1
ENSMUSG00000028800	Hdac1
ENSMUSG00000000409	Lck
ENSMUSG00000050493	Fam167b
ENSMUSG00000028798	Eif3i
ENSMUSG00000028797	Tmem234
ENSMUSG00000078552	Dcdc2b
ENSMUSG00000040795	Iqcc
ENSMUSG00000028795	Ccdc28b
ENSMUSG00000053841	Txlna
ENSMUSG00000003731	Kpna6
ENSMUSG00000053730	Tmem39b
ENSMUSG00000028790	Khdrbs1
ENSMUSG00000028788	Ptp4a2
ENSMUSG00000086369	E330017L17Rik
ENSMUSG00000028784	Spocd1
ENSMUSG00000085389	1700003M07Rik
ENSMUSG00000028782	Adgrb2
ENSMUSG00000085517	Gm12963
ENSMUSG00000040690	Col16a1
ENSMUSG00000028779	Pef1
ENSMUSG00000028778	Hcrtr1
ENSMUSG00000028776	Tinagl1
ENSMUSG00000023120	Gm853
ENSMUSG00000023232	Serinc2
ENSMUSG00000073752	Gm10570
ENSMUSG00000028773	Fabp3
ENSMUSG00000028772	Zcchc17
ENSMUSG00000074088	Snrnp40
ENSMUSG00000078532	Nkain1
ENSMUSG00000028580	Pum1
ENSMUSG00000097158	Gm26516
ENSMUSG00000086548	Gm12972
ENSMUSG00000025743	Sdc3
ENSMUSG00000087451	Gm12970
ENSMUSG00000097224	Gm26716
ENSMUSG00000028581	Laptm5
ENSMUSG00000040533	Matn1
ENSMUSG00000085804	Gm12973
ENSMUSG00000086262	A930031H19Rik
ENSMUSG00000078531	Gm831
ENSMUSG00000087171	Gm12962
ENSMUSG00000086856	Gm16080
ENSMUSG00000028909	Ptpru
ENSMUSG00000028910	Mecr
ENSMUSG00000028911	Srsf4
ENSMUSG00000070720	Tmem200b
ENSMUSG00000028906	Epb41
ENSMUSG00000084869	Gm13063
ENSMUSG00000070717	Gm10300
ENSMUSG00000050511	Oprd1
ENSMUSG00000040025	Ythdf2
ENSMUSG00000028901	Gmeb1
ENSMUSG00000100813	Gm28874
ENSMUSG00000099937	Gm28872
ENSMUSG00000028899	Taf12
ENSMUSG00000089687	Rab42
ENSMUSG00000086290	Snhg12
ENSMUSG00000028898	Trnau1ap
ENSMUSG00000028896	Rcc1
ENSMUSG00000091021	Gm17300
ENSMUSG00000066043	Phactr4
ENSMUSG00000066042	Med18
ENSMUSG00000028893	Sesn2
ENSMUSG00000086997	Gm12981
ENSMUSG00000054428	Atpif1
ENSMUSG00000087352	Gm12999
ENSMUSG00000054405	Dnajc8
ENSMUSG00000056529	Ptafr
ENSMUSG00000028886	Eya3
ENSMUSG00000037752	Xkr8
ENSMUSG00000028885	Smpdl3b
ENSMUSG00000028884	Rpa2
ENSMUSG00000037731	Themis2
ENSMUSG00000028882	Ppp1r8
ENSMUSG00000028879	Stx12
ENSMUSG00000028878	Fam76a
ENSMUSG00000028874	Fgr
ENSMUSG00000037692	Ahdc1
ENSMUSG00000097088	Gm26615
ENSMUSG00000028868	Wasf2
ENSMUSG00000049649	Gpr3
ENSMUSG00000028865	Cd164l2
ENSMUSG00000028862	Map3k6
ENSMUSG00000028860	Sytl1
ENSMUSG00000028857	Tmem222
ENSMUSG00000037622	Wdtc1
ENSMUSG00000028854	Slc9a1
ENSMUSG00000086850	Gm13257
ENSMUSG00000046694	Fam46b
ENSMUSG00000056596	Trnp1
ENSMUSG00000037600	Kdf1
ENSMUSG00000028851	Nudc
ENSMUSG00000037583	Nr0b2
ENSMUSG00000028850	Gpatch3
ENSMUSG00000028848	Gpn2
ENSMUSG00000047281	Sfn
ENSMUSG00000037553	Zdhhc18
ENSMUSG00000043257	Pigv
ENSMUSG00000007880	Arid1a
ENSMUSG00000084789	Gm12974
ENSMUSG00000003644	Rps6ka1
ENSMUSG00000085009	Gm12977
ENSMUSG00000003038	Hmgn2
ENSMUSG00000012117	Dhdds
ENSMUSG00000050966	Lin28a
ENSMUSG00000049410	Zfp683
ENSMUSG00000012123	Aim1l
ENSMUSG00000000682	Cd52
ENSMUSG00000012126	Ubxn11
ENSMUSG00000028843	Sh3bgrl3
ENSMUSG00000037443	Cep85
ENSMUSG00000073747	Gm7534
ENSMUSG00000048003	Catsper4
ENSMUSG00000028841	Cnksr1
ENSMUSG00000028840	Zfp593
ENSMUSG00000086322	E130218I03Rik
ENSMUSG00000108398	RP23-354H24.9
ENSMUSG00000050105	Grrp1
ENSMUSG00000050890	Pdik1l
ENSMUSG00000028834	Trim63
ENSMUSG00000028836	Slc30a2
ENSMUSG00000028838	Extl1
ENSMUSG00000037366	Pafah2
ENSMUSG00000087343	1700021N21Rik
ENSMUSG00000028832	Stmn1
ENSMUSG00000037348	Paqr7
ENSMUSG00000078521	Aunip
ENSMUSG00000046671	Mtfr1l
ENSMUSG00000050989	Sepn1
ENSMUSG00000037306	Man1c1
ENSMUSG00000037295	Ldlrap1
ENSMUSG00000028826	Tmem57
ENSMUSG00000028825	Rhd
ENSMUSG00000028822	Tmem50a
ENSMUSG00000037266	Rsrp1
ENSMUSG00000028821	Syf2
ENSMUSG00000086884	Gm16225
ENSMUSG00000070691	Runx3
ENSMUSG00000084986	Gm16224
ENSMUSG00000037242	Clic4
ENSMUSG00000085002	Gm12984
ENSMUSG00000028809	Srrm1
ENSMUSG00000043924	Ncmap
ENSMUSG00000059713	Rcan3
ENSMUSG00000028803	Nipal3
ENSMUSG00000028801	Stpg1
ENSMUSG00000037188	Grhl3
ENSMUSG00000086788	1700029M20Rik
ENSMUSG00000062157	Ifnlr1
ENSMUSG00000037157	Il22ra1
ENSMUSG00000037139	Myom3
ENSMUSG00000028676	Srsf10
ENSMUSG00000028675	Pnrc2
ENSMUSG00000062585	Cnr2
ENSMUSG00000028673	Fuca1
ENSMUSG00000028672	Hmgcl
ENSMUSG00000028671	Gale
ENSMUSG00000028670	Lypla2
ENSMUSG00000028669	Pithd1
ENSMUSG00000028668	Tceb3
ENSMUSG00000085714	Gm13008
ENSMUSG00000097995	Gm24362
ENSMUSG00000059291	Rpl11
ENSMUSG00000007872	Id3
ENSMUSG00000018983	E2f2
ENSMUSG00000036995	Asap3
ENSMUSG00000001604	Tcea3
ENSMUSG00000051351	Zfp46
ENSMUSG00000066037	Hnrnpr
ENSMUSG00000098155	Gm27022
ENSMUSG00000070687	Htr1d
ENSMUSG00000066178	6030445D17Rik
ENSMUSG00000001089	Luzp1
ENSMUSG00000036940	Kdm1a
ENSMUSG00000036921	4930549C01Rik
ENSMUSG00000070683	Lactbl1
ENSMUSG00000028664	Ephb2
ENSMUSG00000036905	C1qb
ENSMUSG00000036896	C1qc
ENSMUSG00000036887	C1qa
ENSMUSG00000028661	Epha8
ENSMUSG00000060862	Zbtb40
ENSMUSG00000085542	1700037C06Rik
ENSMUSG00000087417	Gm13001
ENSMUSG00000085833	Gm13003
ENSMUSG00000036856	Wnt4
ENSMUSG00000006699	Cdc42
ENSMUSG00000101493	2810405F17Rik
