"set_id","name","GENE.SET","GLOB.STAT","NGLOB.STAT","PVAL"
"WP4494","Selective expression of chemokine receptors during T-cell polarization","WP4494",32100,2010,0.757
"WP4153","Degradation pathway of sphingolipids, including diseases","WP4153",15900,1990,0.762
"WP4564","Neural Crest Cell Migration during Development","WP4564",74600,2260,0.762
"WP3844","PI3K-AKT-mTOR signaling pathway and therapeutic opportunities","WP3844",66900,2230,0.765
"WP405","Eukaryotic Transcription Initiation","WP405",91000,2220,0.772
"WP400","p38 MAPK Signaling Pathway","WP400",73700,2230,0.777
"WP3945","TYROBP Causal Network","WP3945",118000,2080,0.779
"WP2333","Trans-sulfuration pathway","WP2333",20800,2080,0.781
"WP4685","Melanoma","WP4685",143000,2270,0.781
"WP3937","Microglia Pathogen Phagocytosis Pathway","WP3937",72800,2020,0.782
"WP364","IL-6 signaling pathway","WP364",92200,2250,0.783
"WP4262","Breast cancer pathway","WP4262",280000,2310,0.783
"WP4542","Overview of leukocyte-intrinsic Hippo pathway functions","WP4542",64600,2150,0.783
"WP2805","exRNA mechanism of action and biogenesis","WP2805",9440,1890,0.785
"WP716","Vitamin A and Carotenoid Metabolism","WP716",50300,2190,0.786
"WP2637","Structural Pathway of Interleukin 1 (IL-1)","WP2637",109000,2230,0.787
"WP3651","Pathways Affected in Adenoid Cystic Carcinoma","WP3651",124000,2210,0.795
"WP3286","Copper homeostasis","WP3286",104000,2220,0.797
"WP3853","ERK Pathway in Huntington's Disease","WP3853",26900,2070,0.808
"WP3969","H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity","WP3969",28800,2060,0.809
"WP4241","Type 2 papillary renal cell carcinoma","WP4241",65500,2180,0.814
"WP4292","Methionine metabolism leading to Sulphur Amino Acids and related disorders","WP4292",18000,2000,0.816
"WP4721","Eicosanoid metabolism via Lipo Oxygenases (LOX)","WP4721",41900,2090,0.819
"WP205","IL-7 Signaling Pathway","WP205",52600,2110,0.825
"WP3634","Insulin signalling in human adipocytes (normal condition)","WP3634",16000,2000,0.826
"WP3635","Insulin signalling in human adipocytes (diabetic condition)","WP3635",16000,2000,0.826
"WP4150","Wnt Signaling in Kidney Disease","WP4150",57900,2140,0.827
"WP4479","Supression of HMGB1 mediated inflammation by THBD","WP4479",17300,1930,0.827
"WP22","IL-9 Signaling Pathway","WP22",30300,2020,0.828
"WP2942","DDX1 as a regulatory component of the Drosha microprocessor","WP2942",11100,1840,0.828
"WP313","Signaling of Hepatocyte Growth Factor Receptor","WP313",73400,2160,0.828
"WP4223","Ras Signaling","WP4223",326000,2300,0.828
"WP4582","Cancer immunotherapy by CTLA4 blockade","WP4582",23500,1960,0.829
"WP2034","Leptin signaling pathway","WP2034",167000,2230,0.831
"WP4210","Tryptophan catabolism leading to NAD+ production","WP4210",21700,1970,0.833
"WP288","NLR Proteins","WP288",14800,1860,0.835
"WP366","TGF-beta Signaling Pathway","WP366",290000,2270,0.835
"WP438","Non-homologous end joining","WP438",19800,1980,0.835
"WP2513","Nanoparticle triggered regulated necrosis","WP2513",20800,1890,0.837
"WP4656","Joubert Syndrome","WP4656",154000,2230,0.837
"WP4255","Non-small cell lung cancer","WP4255",150000,2240,0.838
"WP23","B Cell Receptor Signaling Pathway","WP23",204000,2220,0.842
"WP304","Kit receptor signaling pathway","WP304",130000,2200,0.842
"WP1559","TFs Regulate miRNAs related to cardiac hypertrophy","WP1559",13400,1910,0.845
"WP3645","NAD+ biosynthetic pathways","WP3645",35200,2070,0.847
"WP437","EGF/EGFR Signaling Pathway","WP437",349000,2250,0.849
"WP4018","Pathways in clear cell renal cell carcinoma","WP4018",177000,2240,0.85
"WP696","Benzo(a)pyrene metabolism","WP696",11400,1630,0.85
"WP4565","Neural Crest Cell Migration in Cancer","WP4565",79000,2200,0.851
"WP3614","Photodynamic therapy-induced HIF-1 survival signaling","WP3614",71000,2150,0.853
"WP69","T-Cell antigen Receptor (TCR)  Signaling Pathway","WP69",174000,2120,0.853
"WP286","IL-3 Signaling Pathway","WP286",96100,2180,0.854
"WP4483","Relationship between inflammation, COX-2 and EGFR","WP4483",45700,2080,0.856
"WP4549","Fragile X Syndrome ","WP4549",209000,2230,0.859
"WP49","IL-2 Signaling Pathway","WP49",87900,2140,0.86
"WP4747","Netrin-UNC5B signaling Pathway","WP4747",95400,2170,0.863
"WP2873","Aryl Hydrocarbon Receptor Pathway","WP2873",65000,2100,0.866
"WP1584","Type II diabetes mellitus","WP1584",27400,1960,0.867
"WP368","Mitochondrial LC-Fatty Acid Beta-Oxidation","WP368",31500,1970,0.867
"WP3303","RAC1/PAK1/p38/MMP2 Pathway","WP3303",136000,2190,0.871
"WP3931","ESC Pluripotency Pathways","WP3931",187000,2250,0.871
"WP4206","Hereditary leiomyomatosis and renal cell carcinoma pathway","WP4206",38500,2030,0.873
"WP422","MAPK Cascade","WP422",70400,2130,0.873
"WP3982","miRNA regulation of p53 pathway in prostate cancer","WP3982",47700,2070,0.874
"WP481","Insulin Signaling","WP481",340000,2270,0.874
"WP3934","Leptin and adiponectin","WP3934",14900,1870,0.879
"WP4301","Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells","WP4301",35800,1990,0.879
"WP4655","Cytosolic DNA-sensing pathway","WP4655",118000,2150,0.879
"WP4159","GABA receptor Signaling","WP4159",25200,1940,0.881
"WP2828","Bladder Cancer","WP2828",81500,2140,0.882
"WP4263","Pancreatic adenocarcinoma pathway","WP4263",188000,2220,0.883
"WP2018","RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway","WP2018",112000,2160,0.887
"WP75","Toll-like Receptor Signaling Pathway","WP75",170000,2180,0.889
"WP2453","TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc)","WP2453",27800,1850,0.892
"WP4585","Cancer immunotherapy by PD-1 blockade","WP4585",38000,1810,0.892
"WP4561","Cell migration and invasion through p75NTR","WP4561",59200,2110,0.894
"WP691","Tamoxifen metabolism","WP691",7830,1570,0.894
"WP4239","Epithelial to mesenchymal transition in colorectal cancer","WP4239",278000,2190,0.895
"WP106","Alanine and aspartate metabolism","WP106",12100,1720,0.896
"WP4723","Omega-3/Omega-6 FA synthesis","WP4723",20000,1820,0.896
"WP185","Integrin-mediated Cell Adhesion","WP185",188000,2160,0.899
"WP2324","AGE/RAGE pathway","WP2324",138000,2180,0.899
"WP3859","TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition","WP3859",32500,1910,0.899
"WP325","Triacylglyceride Synthesis","WP325",26000,1860,0.906
"WP363","Wnt Signaling Pathway (Netpath)","WP363",103000,2140,0.91
"WP2572","Primary Focal Segmental Glomerulosclerosis FSGS","WP2572",123000,2110,0.911
"WP4313","Ferroptosis","WP4313",73300,2040,0.915
"WP2261","Signaling Pathways in Glioblastoma","WP2261",176000,2200,0.917
"WP43","Oxidation by Cytochrome P450","WP43",58700,1960,0.917
"WP4136","Fibrin Complement Receptor 3 Signaling Pathway","WP4136",60500,2020,0.918
"WP673","ErbB Signaling Pathway","WP673",176000,2170,0.919
"WP2643","Nanoparticle-mediated activation of receptor signaling","WP2643",54800,1960,0.92
"WP4504","Cysteine and methionine catabolism","WP4504",24200,1860,0.922
"WP453","Inflammatory Response Pathway","WP453",39800,1810,0.922
"WP4746","Thyroid hormones production and their peripheral downstream signalling effects regarding congenital hypothyroidism","WP4746",141000,2140,0.925
"WP1449","Regulation of toll-like receptor signaling pathway","WP1449",242000,2180,0.926
"WP143","Fatty Acid Beta Oxidation","WP143",53400,1980,0.928
"WP244","Alpha 6 Beta 4 signaling pathway","WP244",65500,1990,0.928
"WP4659","Gastrin Signaling Pathway","WP4659",229000,2180,0.929
"WP3869","Cannabinoid receptor signaling","WP3869",44600,1940,0.933
"WP195","IL-1 signaling pathway","WP195",116000,2110,0.934
"WP3965","Lipid Metabolism Pathway","WP3965",52000,2000,0.934
"WP3981","miRNA regulation of prostate cancer signaling pathways","WP3981",63500,1980,0.935
"WP12","Osteoclast Signaling","WP12",21300,1770,0.937
"WP1982","Sterol Regulatory Element-Binding Proteins (SREBP) signalling","WP1982",138000,2120,0.937
"WP4146","Macrophage markers","WP4146",12200,1350,0.946
"WP100","Glutathione metabolism","WP100",27300,1700,0.949
"WP3413","NOTCH1 regulation of human endothelial cell calcification","WP3413",28900,1810,0.952
"WP111","Electron Transport Chain (OXPHOS system in mitochondria)","WP111",125000,1780,0.956
"WP615","Senescence and Autophagy in Cancer","WP615",199000,2140,0.957
"WP1433","Nucleotide-binding Oligomerization Domain (NOD) pathway","WP1433",59400,1860,0.959
"WP4329","miRNAs involvement in the immune response in sepsis","WP4329",62200,1940,0.959
"WP3879","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","WP3879",31300,1740,0.961
"WP4155","Endometrial cancer","WP4155",123000,2080,0.961
"WP3676","BDNF-TrkB Signaling","WP3676",59300,1980,0.962
"WP4352","Ciliary landscape","WP4352",419000,2160,0.962
"WP4536","Genes related to primary cilium development (based on CRISPR)","WP4536",180000,2020,0.968
"WP1471","Target Of Rapamycin (TOR) Signaling","WP1471",65800,1930,0.969
"WP357","Fatty Acid Biosynthesis","WP357",36700,1840,0.969
"WP4396","Nonalcoholic fatty liver disease","WP4396",273000,2020,0.971
"WP4205","MET in type 1 papillary renal cell carcinoma","WP4205",105000,2020,0.972
"WP2509","Nanoparticle triggered autophagic cell death","WP2509",37700,1790,0.978
"WP581","EPO Receptor Signaling","WP581",46000,1840,0.979
"WP2526","PDGF Pathway","WP2526",75100,1920,0.98
"WP692","Sulfation Biotransformation Reaction","WP692",6720,1120,0.983
"WP702","Metapathway biotransformation Phase I and II","WP702",175000,1950,0.983
"WP3915","Angiopoietin Like Protein 8 Regulatory Pathway","WP3915",242000,2070,0.984
"WP4758","Nephrotic syndrome","WP4758",60900,1850,0.984
"WP534","Glycolysis and Gluconeogenesis","WP534",60600,1830,0.984
"WP4217","Ebola Virus Pathway on Host","WP4217",239000,2020,0.985
"WP710","DNA Damage Response (only ATM dependent)","WP710",207000,2070,0.988
"WP4674","Head and Neck Squamous Cell Carcinoma","WP4674",129000,1960,0.991
"WP623","Oxidative phosphorylation","WP623",56200,1520,0.993
"WP4324","Mitochondrial complex I assembly model OXPHOS system","WP4324",69700,1550,0.995
"WP3680","Association Between Physico-Chemical Features and Toxicity Associated Pathways","WP3680",107000,1950,0.996
"WP4577","Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway","WP4577",73600,1710,0.998
"WP697","Estrogen metabolism","WP697",7800,867,0.999
"WP4532","Intraflagellar transport proteins binding to dynein","WP4532",30900,1410,1
