"set_id","name","GENE.SET","ES","NES","PVAL"
"WP61","Notch Signaling Pathway Netpath","WP61",-0.264,-0.992,0.465
"WP2436","Dopamine metabolism","WP2436",-0.44,-0.996,0.466
"WP3680","Association Between Physico-Chemical Features and Toxicity Associated Pathways","WP3680",-0.301,-1.01,0.466
"WP299","Nuclear Receptors in Lipid Metabolism and Toxicity","WP299",-0.475,-1.04,0.469
"WP2817","Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4)","WP2817",-0.386,-0.992,0.472
"WP2884","NRF2 pathway","WP2884",-0.303,-0.962,0.473
"WP1449","Regulation of toll-like receptor signaling pathway","WP1449",-0.277,-0.979,0.477
"WP2865","IL1 and megakaryocytes in obesity","WP2865",-0.45,-1.01,0.48
"WP3630","NAD metabolism, sirtuins and aging","WP3630",-0.418,-0.976,0.484
"WP585","Interferon type I signaling pathways","WP585",-0.262,-0.964,0.485
"WP4542","Overview of leukocyte-intrinsic Hippo pathway functions","WP4542",-0.37,-1.01,0.488
"WP1434","Osteopontin Signaling","WP1434",0.388,0.984,0.492
"WP4564","Neural Crest Cell Migration during Development","WP4564",-0.322,-0.997,0.494
"WP78","TCA Cycle (aka Krebs or citric acid cycle)","WP78",-0.371,-0.991,0.5
"WP2876","Pregnane X Receptor pathway","WP2876",-0.414,-0.967,0.502
"WP4726","Sphingolipid Metabolism (integrated pathway)","WP4726",-0.334,-0.965,0.502
"WP3676","BDNF-TrkB Signaling","WP3676",-0.304,-0.973,0.504
"WP26","Signal Transduction of S1P Receptor","WP26",-0.311,-0.971,0.508
"WP4150","Wnt Signaling in Kidney Disease","WP4150",-0.336,-0.951,0.509
"WP4504","Cysteine and methionine catabolism","WP4504",-0.38,-0.935,0.513
"WP3651","Pathways Affected in Adenoid Cystic Carcinoma","WP3651",0.262,0.969,0.516
"WP229","Irinotecan Pathway","WP229",-0.521,-0.964,0.523
"WP4341","Non-genomic actions of 1,25 dihydroxyvitamin D3","WP4341",-0.285,-0.944,0.523
"WP3668","Hypothesized Pathways in Pathogenesis of Cardiovascular Disease","WP3668",-0.379,-0.944,0.526
"WP3664","Regulation of Wnt/B-catenin Signaling by Small Molecule Compounds","WP3664",-0.399,-0.973,0.527
"WP4518","Gamma-Glutamyl Cycle for the biosynthesis and degradation of glutathione, including diseases","WP4518",0.542,0.979,0.527
"WP4721","Eicosanoid metabolism via Lipo Oxygenases (LOX)","WP4721",-0.378,-0.93,0.533
"WP501","GPCRs, Class C Metabotropic glutamate, pheromone","WP501",-0.575,-0.97,0.533
"WP4725","Sphingolipid Metabolism (general overview)","WP4725",-0.335,-0.937,0.534
"WP3945","TYROBP Causal Network","WP3945",-0.435,-0.974,0.535
"WP3845","Canonical  and Non-canonical Notch signaling","WP3845",0.325,0.923,0.536
"WP4146","Macrophage markers","WP4146",-0.564,-0.992,0.536
"WP4297","Thiamine metabolic pathways","WP4297",-0.382,-0.913,0.536
"WP2583","T-Cell Receptor and Co-stimulatory Signaling","WP2583",-0.337,-0.914,0.539
"WP3967","miR-509-3p alteration of YAP1/ECM axis","WP3967",-0.467,-0.965,0.542
"WP3971","Role of Osx and miRNAs in tooth development","WP3971",-0.442,-0.939,0.543
"WP4566","Translation inhibitors in chronically activated PDGFRA cells","WP4566",-0.244,-0.935,0.545
"WP1425","Bone Morphogenic Protein (BMP) Signalling and Regulation","WP1425",-0.436,-0.943,0.55
"WP453","Inflammatory Response Pathway","WP453",-0.418,-0.94,0.551
"WP4561","Cell migration and invasion through p75NTR","WP4561",-0.322,-0.906,0.552
"WP22","IL-9 Signaling Pathway","WP22",-0.308,-0.905,0.554
"WP3982","miRNA regulation of p53 pathway in prostate cancer","WP3982",0.364,0.941,0.558
"WP4656","Joubert Syndrome","WP4656",0.288,0.9,0.563
"WP288","NLR Proteins","WP288",0.405,0.94,0.567
"WP311","Synthesis and Degradation of Ketone Bodies","WP311",-0.466,-0.927,0.569
"WP2875","Constitutive Androstane Receptor Pathway","WP2875",-0.356,-0.905,0.573
"WP1946","Cori Cycle","WP1946",-0.359,-0.886,0.58
"WP2032","Human Thyroid Stimulating Hormone (TSH) signaling pathway","WP2032",-0.242,-0.93,0.58
"WP4204","Tumor suppressor activity of SMARCB1","WP4204",0.295,0.893,0.589
"WP1742","TP53 Network","WP1742",-0.333,-0.904,0.59
"WP4758","Nephrotic syndrome","WP4758",-0.27,-0.922,0.594
"WP2911","miRNA targets in ECM and membrane receptors","WP2911",-0.47,-0.937,0.596
"WP2873","Aryl Hydrocarbon Receptor Pathway","WP2873",-0.307,-0.892,0.599
"WP4313","Ferroptosis","WP4313",0.289,0.879,0.606
"WP4495","IL-10 Anti-inflammatory Signaling Pathway ","WP4495",-0.362,-0.879,0.617
"WP3942","PPAR signaling pathway","WP3942",-0.292,-0.906,0.618
"WP3617","Photodynamic therapy-induced NF-kB survival signaling","WP3617",-0.361,-0.873,0.619
"WP3611","Photodynamic therapy-induced AP-1 survival signaling.","WP3611",-0.267,-0.895,0.622
"WP384","Apoptosis Modulation by HSP70","WP384",0.318,0.853,0.626
"WP4205","MET in type 1 papillary renal cell carcinoma","WP4205",-0.218,-0.869,0.627
"WP4357","NRF2-ARE regulation","WP4357",0.316,0.862,0.631
"WP581","EPO Receptor Signaling","WP581",-0.272,-0.869,0.634
"WP477","Cytoplasmic Ribosomal Proteins","WP477",-0.308,-0.853,0.64
"WP3844","PI3K-AKT-mTOR signaling pathway and therapeutic opportunities","WP3844",-0.261,-0.869,0.641
"WP702","Metapathway biotransformation Phase I and II","WP702",-0.293,-0.878,0.643
"WP254","Apoptosis","WP254",0.276,0.863,0.645
"WP4271","Vitamin B12 Disorders","WP4271",0.357,0.859,0.651
"WP3","Phytochemical activity on NRF2 transcriptional activation","WP3",0.378,0.847,0.654
"WP4532","Intraflagellar transport proteins binding to dynein","WP4532",-0.285,-0.813,0.654
"WP3858","Toll-like Receptor Signaling related to MyD88","WP3858",-0.309,-0.84,0.655
"WP43","Oxidation by Cytochrome P450","WP43",-0.341,-0.849,0.655
"WP75","Toll-like Receptor Signaling Pathway","WP75",-0.248,-0.846,0.66
"WP2526","PDGF Pathway","WP2526",-0.25,-0.854,0.661
"WP2586","Aryl Hydrocarbon Receptor Netpath","WP2586",-0.267,-0.852,0.662
"WP619","Type II interferon signaling (IFNG)","WP619",0.354,0.788,0.664
"WP2038","Regulation of Microtubule Cytoskeleton","WP2038",0.266,0.817,0.68
"WP2815","Mammary gland development pathway - Involution (Stage 4 of 4)","WP2815",0.385,0.834,0.689
"WP244","Alpha 6 Beta 4 signaling pathway","WP244",-0.25,-0.793,0.692
"WP3646","Hepatitis C and Hepatocellular Carcinoma","WP3646",0.255,0.824,0.696
"WP2291","Deregulation of Rab and Rab Effector Genes in Bladder Cancer","WP2291",-0.393,-0.794,0.704
"WP4533","Transcription co-factors SKI and SKIL protein partners","WP4533",-0.308,-0.829,0.705
"WP615","Senescence and Autophagy in Cancer","WP615",-0.213,-0.823,0.709
"WP2854","Gene regulatory network modelling somitogenesis ","WP2854",0.475,0.841,0.712
"WP2643","Nanoparticle-mediated activation of receptor signaling","WP2643",-0.25,-0.82,0.72
"WP1422","Sphingolipid pathway","WP1422",-0.256,-0.815,0.721
"WP1471","Target Of Rapamycin (TOR) Signaling","WP1471",-0.24,-0.785,0.724
"WP2011","SREBF and miR33 in cholesterol and lipid homeostasis","WP2011",-0.292,-0.795,0.73
"WP4478","LTF danger signal response pathway","WP4478",-0.33,-0.779,0.732
"WP3655","Hypothetical Craniofacial Development Pathway","WP3655",0.412,0.812,0.734
"WP4629","Computational Model of Aerobic Glycolysis","WP4629",0.34,0.791,0.737
"WP4236","Disorders of the Krebs cycle","WP4236",0.32,0.768,0.741
"WP2447","Amyotrophic lateral sclerosis (ALS)","WP2447",-0.233,-0.81,0.746
"WP3286","Copper homeostasis","WP3286",-0.239,-0.838,0.748
"WP357","Fatty Acid Biosynthesis","WP357",-0.253,-0.798,0.75
"WP4582","Cancer immunotherapy by CTLA4 blockade","WP4582",-0.306,-0.761,0.751
"WP4147","PTF1A related regulatory pathway","WP4147",-0.371,-0.774,0.752
"WP2453","TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc)","WP2453",0.256,0.73,0.753
"WP2878","PPAR Alpha Pathway","WP2878",0.274,0.78,0.755
"WP3925","Amino Acid metabolism","WP3925",-0.216,-0.779,0.756
"WP4141","PI3K/AKT/mTOR - VitD3 Signalling","WP4141",-0.27,-0.756,0.758
"WP111","Electron Transport Chain (OXPHOS system in mitochondria)","WP111",-0.223,-0.653,0.759
"WP12","Osteoclast Signaling","WP12",0.333,0.759,0.759
"WP3529","Zinc homeostasis","WP3529",0.281,0.76,0.759
"WP4263","Pancreatic adenocarcinoma pathway","WP4263",0.203,0.833,0.764
"WP4329","miRNAs involvement in the immune response in sepsis","WP4329",-0.274,-0.745,0.772
"WP4742","Ketogenesis and Ketolysis","WP4742",-0.34,-0.791,0.779
"WP497","Urea cycle and metabolism of amino groups","WP497",-0.307,-0.79,0.787
"WP524","G13 Signaling Pathway","WP524",-0.2,-0.79,0.789
"WP3678","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits","WP3678",0.308,0.754,0.792
"WP4537","Hippo-Yap signaling pathway","WP4537",-0.277,-0.753,0.792
"WP4536","Genes related to primary cilium development (based on CRISPR)","WP4536",0.252,0.671,0.796
"WP138","Androgen receptor signaling pathway","WP138",-0.175,-0.716,0.798
"WP4549","Fragile X Syndrome ","WP4549",-0.191,-0.805,0.801
"WP2359","Parkin-Ubiquitin Proteasomal System pathway","WP2359",0.186,0.691,0.802
"WP2853","Endoderm Differentiation","WP2853",-0.223,-0.812,0.802
"WP368","Mitochondrial LC-Fatty Acid Beta-Oxidation","WP368",-0.261,-0.708,0.809
"WP534","Glycolysis and Gluconeogenesis","WP534",-0.239,-0.734,0.813
"WP3859","TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition","WP3859",-0.267,-0.707,0.818
"WP2507","Nanomaterial induced apoptosis","WP2507",0.271,0.728,0.824
"WP3872","Regulation of Apoptosis by Parathyroid Hormone-related Protein","WP3872",-0.266,-0.715,0.828
"WP3612","Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling","WP3612",-0.273,-0.666,0.829
"WP710","DNA Damage Response (only ATM dependent)","WP710",-0.201,-0.772,0.834
"WP2533","Glycerophospholipid Biosynthetic Pathway","WP2533",-0.238,-0.738,0.835
"WP3877","Simplified Depiction of MYD88 Distinct Input-Output Pathway","WP3877",-0.312,-0.735,0.836
"WP623","Oxidative phosphorylation","WP623",0.218,0.554,0.839
"WP1433","Nucleotide-binding Oligomerization Domain (NOD) pathway","WP1433",-0.25,-0.627,0.841
"WP4674","Head and Neck Squamous Cell Carcinoma","WP4674",-0.191,-0.747,0.844
"WP106","Alanine and aspartate metabolism","WP106",0.355,0.663,0.845
"WP231","TNF alpha Signaling Pathway","WP231",-0.183,-0.729,0.851
"WP2828","Bladder Cancer","WP2828",0.242,0.736,0.852
"WP3874","Canonical and Non-Canonical TGF-B signaling","WP3874",-0.269,-0.61,0.858
"WP4558","Overview of interferons-mediated signaling pathway","WP4558",0.237,0.656,0.858
"WP4018","Pathways in clear cell renal cell carcinoma","WP4018",-0.203,-0.752,0.861
"WP4723","Omega-3/Omega-6 FA synthesis","WP4723",0.292,0.687,0.863
"WP2261","Signaling Pathways in Glioblastoma","WP2261",-0.204,-0.753,0.865
"WP4324","Mitochondrial complex I assembly model OXPHOS system","WP4324",0.179,0.485,0.865
"WP4159","GABA receptor Signaling","WP4159",0.267,0.649,0.874
"WP2249","Metastatic brain tumor","WP2249",-0.329,-0.684,0.875
"WP2864","Apoptosis-related network due to altered Notch3 in ovarian cancer","WP2864",-0.215,-0.669,0.88
"WP4562","Canonical NF-KB pathway","WP4562",-0.276,-0.646,0.883
"WP2868","TCA Cycle Nutrient Utilization and Invasiveness of Ovarian Cancer","WP2868",0.306,0.616,0.898
"WP697","Estrogen metabolism","WP697",0.331,0.667,0.903
"WP4523","Classical pathway of steroidogenesis, including diseases","WP4523",-0.321,-0.655,0.904
"WP3926","ApoE and miR-146 in inflammation and atherosclerosis","WP3926",-0.279,-0.608,0.916
"WP400","p38 MAPK Signaling Pathway","WP400",0.179,0.675,0.916
"WP3593","MicroRNA for Targeting Cancer Growth and Vascularization in Glioblastoma","WP3593",-0.287,-0.653,0.917
"WP430","Statin Pathway","WP430",0.25,0.635,0.921
"WP3865","Novel intracellular components of RIG-I-like receptor (RLR) pathway","WP3865",0.186,0.677,0.929
"WP100","Glutathione metabolism","WP100",-0.259,-0.591,0.933
"WP1531","Vitamin D Metabolism","WP1531",0.304,0.618,0.937
"WP268","Notch Signaling","WP268",0.172,0.642,0.938
"WP3645","NAD+ biosynthetic pathways","WP3645",-0.204,-0.657,0.939
"WP3614","Photodynamic therapy-induced HIF-1 survival signaling","WP3614",0.208,0.608,0.944
"WP3937","Microglia Pathogen Phagocytosis Pathway","WP3937",0.225,0.495,0.946
"WP107","Translation Factors","WP107",0.122,0.544,0.947
"WP1772","Apoptosis Modulation and Signaling","WP1772",-0.192,-0.678,0.95
"WP691","Tamoxifen metabolism","WP691",0.302,0.549,0.954
"WP4655","Cytosolic DNA-sensing pathway","WP4655",-0.172,-0.52,0.964
"WP696","Benzo(a)pyrene metabolism","WP696",0.264,0.468,0.966
"WP1982","Sterol Regulatory Element-Binding Proteins (SREBP) signalling","WP1982",0.157,0.565,0.969
"WP80","Nucleotide GPCRs","WP80",-0.31,-0.584,0.969
"WP3871","Valproic acid pathway","WP3871",-0.228,-0.508,0.974
"WP4522","Metabolic pathway of LDL, HDL and TG, including diseases","WP4522",-0.261,-0.576,0.976
"WP3869","Cannabinoid receptor signaling","WP3869",0.197,0.611,0.982
"WP2513","Nanoparticle triggered regulated necrosis","WP2513",0.201,0.48,0.984
"WP2942","DDX1 as a regulatory component of the Drosha microprocessor","WP2942",-0.227,-0.518,0.984
"WP692","Sulfation Biotransformation Reaction","WP692",0.228,0.452,0.988
"WP325","Triacylglyceride Synthesis","WP325",0.176,0.46,0.998
"WP4577","Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway","WP4577",0.0985,0.444,1
